"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL585949";"";"0";"436.84";"0";"3.40";"35";"CS(=O)(=O)c1cc(Cl)ccc1CNC(=O)c1ccc(OCCC(F)(F)F)nc1";"IC50";"'='";"66.0";"nM";"7.18";"";"";"UO_0000065";"16.44";"0.35";"3.78";"8.41";"False";"CHEMBL1039073";"Inhibition of human soluble EH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156061";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL69744";"";"0";"327.81";"0";"3.38";"13";"CCCCCNC(=O)OCCNC(=O)Nc1cccc(Cl)c1";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"14.47";"0.29";"1.36";"5.97";"False";"CHEMBL677485";"Tested for 50 % inhibitory concentration against human soluble epoxide hydrolase (sEH)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149149";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None"
"CHEMBL562440";"";"0";"354.54";"0";"4.97";"3";"CCCCCN(C)C(=O)NCCCC/C=C\CCCCCCC(=O)O";"IC50";"'='";"1451.0";"nM";"5.84";"";"";"UO_0000065";"16.47";"0.32";"0.87";"8.38";"False";"CHEMBL1063935";"Inhibition of human recombinant soluble epoxide hydrolase expressed in baculovirus system assessed as appearance of 6-methoxynaphthaldehyde product by fluorescent-based assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151961";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL559573";"";"0";"340.51";"0";"4.63";"8";"CCCCCNC(=O)NCCCC/C=C/CCCCCCC(=O)O";"IC50";"'='";"48.5";"nM";"7.31";"";"";"UO_0000065";"21.48";"0.42";"2.68";"9.33";"False";"CHEMBL1063935";"Inhibition of human recombinant soluble epoxide hydrolase expressed in baculovirus system assessed as appearance of 6-methoxynaphthaldehyde product by fluorescent-based assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151961";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL550551";"";"0";"353.55";"1";"5.57";"23";"CCCCCCN(C)C(=O)CCCC/C=C\CCCCCCC(=O)O";"IC50";"'='";"13877.0";"nM";"4.86";"";"";"UO_0000065";"13.74";"0.27";"-0.71";"8.43";"False";"CHEMBL1063935";"Inhibition of human recombinant soluble epoxide hydrolase expressed in baculovirus system assessed as appearance of 6-methoxynaphthaldehyde product by fluorescent-based assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151961";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL564227";"";"0";"436.51";"0";"4.05";"(R)-24";"CS(=O)(=O)c1ccc([C@H](CCNC(=O)c2ccc(C#N)cc2)c2ccc(F)cc2)cc1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"17.99";"0.35";"3.80";"9.02";"False";"CHEMBL1058191";"Displacement of rhodamine-labeled probe from human soluble epoxide hydrolase by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153540";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL556234";"";"0";"510.51";"1";"4.52";"23";"CS(=O)(=O)c1ccc(C(CCNC(=O)c2ccc(OCC(F)(F)F)nc2)c2ccc(F)cc2)cc1";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"16.45";"0.33";"3.88";"9.84";"False";"CHEMBL1058191";"Displacement of rhodamine-labeled probe from human soluble epoxide hydrolase by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153540";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL592207";"";"0";"332.28";"0";"2.91";"9";"O=C(O)C1CCN(C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1";"IC50";"'>'";"3000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1074708";"Displacement of rhodamine-labeled probe from human soluble epoxide hydrolase by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153202";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None"
"CHEMBL308665";"";"0";"394.51";"0";"2.92";"31";"CCOC(=O)CCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2";"IC90";"'='";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL677486";"Tested for 90 % inhibitory concentration against human soluble epoxide hydrolase (sEH)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149149";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None"
"CHEMBL1079362";"";"0";"295.39";"0";"3.67";"1c";"CC1(c2ccccc2)CCCN(C(=O)Nc2ccncc2)C1";"IC50";"'='";"550.0";"nM";"6.26";"";"";"UO_0000065";"21.19";"0.39";"2.59";"13.84";"False";"CHEMBL1100033";"Inhibition of human soluble epoxide hydrolase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154229";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL1077780";"";"0";"334.46";"0";"4.31";"1n";"CC1(c2ccccc2)CCCN(C(=O)N[C@H]2C[C@@H]2c2ccccc2)C1";"IC50";"'<'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1100145";"Inhibition of human soluble epoxide hydrolase in HEK293 cells assessed as DHET production";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154229";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307715"
"CHEMBL562822";"";"0";"389.46";"0";"3.58";"entA-2d";"O=C(N[C@@H]1C[C@H]1c1ccccc1)N1CCC(c2nc(-c3ccccn3)no2)CC1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"20.17";"0.37";"4.27";"9.33";"False";"CHEMBL1051702";"Inhibition of human sEH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152451";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None"
"CHEMBL2392692";"";"0";"503.32";"1";"3.42";"27, GSK2188931B";"CNc1nc(C)nc(N2CCC(C(=O)NCc3ccc(Br)cc3OC(F)(F)F)CC2)n1";"IC50";"'='";"0.5";"nM";"9.30";"";"";"UO_0000065";"18.48";"0.41";"5.88";"10.08";"False";"CHEMBL2393704";"Inhibition of human soluble epoxide hydrolase using PHOME as substrate assessed as formation of 6-methoxy-2-naphthaldehyde incubated for 10 mins prior to substrate addition measured with in 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390902";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None"
"CHEMBL2392706";"";"0";"424.43";"0";"2.65";"18";"CNc1nc(C)nc(N2CCC(C(=O)NCc3ccccc3OC(F)(F)F)CC2)n1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"21.20";"0.41";"6.35";"9.75";"False";"CHEMBL2393704";"Inhibition of human soluble epoxide hydrolase using PHOME as substrate assessed as formation of 6-methoxy-2-naphthaldehyde incubated for 10 mins prior to substrate addition measured with in 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390902";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None"
"CHEMBL2392705";"";"0";"405.46";"0";"4.59";"17";"CNc1cc(C)cc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)c1";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"18.48";"0.35";"2.90";"16.89";"False";"CHEMBL2393704";"Inhibition of human soluble epoxide hydrolase using PHOME as substrate assessed as formation of 6-methoxy-2-naphthaldehyde incubated for 10 mins prior to substrate addition measured with in 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390902";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None"
"CHEMBL2392698";"";"0";"452.48";"0";"2.79";"10h";"COCCNc1nc(C)nc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)n1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"19.89";"0.38";"6.21";"9.75";"False";"CHEMBL2393704";"Inhibition of human soluble epoxide hydrolase using PHOME as substrate assessed as formation of 6-methoxy-2-naphthaldehyde incubated for 10 mins prior to substrate addition measured with in 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390902";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None"
"CHEMBL2392714";"";"0";"408.43";"0";"2.77";"10a";"CNc1nc(C)nc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)n1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"20.87";"0.40";"5.75";"10.26";"False";"CHEMBL2393704";"Inhibition of human soluble epoxide hydrolase using PHOME as substrate assessed as formation of 6-methoxy-2-naphthaldehyde incubated for 10 mins prior to substrate addition measured with in 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2390902";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None"
"CHEMBL2032044";"";"0";"474.61";"0";"4.87";"140";"O=C(Nc1cccc(C(=O)Nc2ccc(N3CCOCC3)cc2)c1)NC12CC3CC(CC(C3)C1)C2";"IC50";"'='";"74.2";"nM";"7.13";"";"";"UO_0000065";"15.02";"0.28";"2.26";"8.62";"False";"CHEMBL2032586";"Inhibition of human recombinant soluble epoxide hydrolase using CMNPC as substrate assessed as appearance of 6-methoxy-2-naphthaldehyde after 10 mins by fluorescence analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2029208";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None"
"CHEMBL512871";"";"0";"400.54";"0";"3.33";"8-9";"Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)NCc3ccccc3)CC2)c(C)c1";"IC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"18.42";"0.36";"4.05";"11.10";"False";"CHEMBL999421";"Inhibition of epoxide hydrolase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL470604";"";"0";"455.41";"0";"4.33";"6-25";"Cc1ccc(S(=O)(=O)N2CCC(C(=O)NCc3ccc(Cl)cc3Cl)CC2)c(C)c1";"Inhibition";"'='";"97.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL999422";"Inhibition of epoxide hydrolase at 200 nm";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL469371";"";"0";"395.53";"0";"1.38";"8-49";"Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)NN3CCOCC3)CC2)c(C)c1";"Inhibition";"'='";"14.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL999422";"Inhibition of epoxide hydrolase at 200 nm";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL469554";"";"0";"393.34";"0";"3.06";"6-15";"CC(C)S(=O)(=O)N1CCC(C(=O)NCc2ccc(Cl)cc2Cl)CC1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL999421";"Inhibition of epoxide hydrolase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL469338";"";"0";"495.35";"0";"4.73";"6-16";"O=C(NCc1ccc(Cl)cc1Cl)C1CCN(S(=O)(=O)c2ccccc2C(F)(F)F)CC1";"Inhibition";"'='";"39.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL999422";"Inhibition of epoxide hydrolase at 200 nm";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL511448";"";"0";"401.53";"0";"3.16";"8-22";"Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)NNc3ccccc3)CC2)c(C)c1";"Inhibition";"'='";"16.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL999422";"Inhibition of epoxide hydrolase at 200 nm";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL470837";"";"0";"378.54";"0";"3.07";"8-48";"Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)NC3CCCC3)CC2)c(C)c1";"Inhibition";"'='";"75.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL999422";"Inhibition of epoxide hydrolase at 200 nm";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153996";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL557509";"";"0";"388.90";"0";"3.62";"14l";"O=C(Cc1ccc(Cl)cc1)Nc1cccc(OCCCN2CCOCC2)c1";"IC50";"'='";"116.0";"nM";"6.94";"";"";"UO_0000065";"17.83";"0.35";"3.32";"13.65";"False";"CHEMBL1062360";"Inhibition of human soluble epoxide hydrolase by fluorescent endpoint assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152369";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL550655";"";"0";"407.87";"0";"4.22";"13l";"O=C(Nc1ccc(Cl)cc1)Nc1ccc(F)c(OCCCN2CCOCC2)c1";"IC50";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"20.40";"0.41";"4.10";"13.24";"False";"CHEMBL1062360";"Inhibition of human soluble epoxide hydrolase by fluorescent endpoint assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152369";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
"CHEMBL563709";"";"0";"419.61";"0";"3.30";"25c";"O=C(NC1CCCC(OCCCN2CCOCC2)C1)NC12CC3CC(CC(C3)C1)C2";"IC50";"'='";"2.5";"nM";"8.60";"";"";"UO_0000065";"20.50";"0.39";"5.30";"13.69";"False";"CHEMBL1062360";"Inhibition of human soluble epoxide hydrolase by fluorescent endpoint assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152369";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None"
